MMS ID,Resource Type,Author Statement,Fund Ledger Name,Fund Ledger Code
991017360548003851,Book - Physical,"Ostovar, Afshon, author.",Cabot - Books,gcabb
991017360643803851,Book - Physical,"Altman, Dennis, 1943- author.",Bradley - Books,gbrab
991017360643903851,Book - Physical,"Martel, Frédéric, 1967- author.",Bradley - Books,gbrab
991017360644203851,Book - Physical,,Cabot - Books,gcabb
991017360644403851,Book - Physical,"Roberts, Brad, author.",Cabot - Books,gcabb
991017371248703851,Book - Electronic,"Richemond-Barak, Daphné, author.",Maney - Books,gmanb
991017379049603851,Book - Physical,"Wilson, Edward O., author.",Cabot - Books,gcabb
991017379049703851,Book - Physical,"Murad, Nadia, author.",Cabot - Books,gcabb
991017382148603851,Digital File - Data,,Cabot - Books,gcabb
991017382449703851,Digital File - Text,"Leopold, Aldo, 1886-1948.",Cabot - Books,gcabb
991017383147003851,Book - Physical,"Ngangjoh-Hodu, Yenkong, author.",Cabot - Books,gcabb
991017383149803851,Book - Physical,"Wu, Tim, author.",Salacuse - Books,gsalb
991017388449303851,Book - Physical,,Hay - Books,ghayb
991017388449403851,Book - Physical,,Maney - Books,gmanb
991017388544903851,Book - Physical,"Mazza, Mauro, author.",Maney - Books,gmanb
991017388547203851,Book - Physical,,Maney - Books,gmanb
991017388548603851,Book - Physical,,Hay - Books,ghayb
991017388549803851,Book - Physical,,Salacuse - Books,gsalb
991017388642003851,Book - Physical,,Maney - Books,gmanb
991017388644803851,Book - Physical,,Maney - Books,gmanb
991017388648803851,Textual – Component Part,"MASTERS, CRISTINA",Bradley - Books,gbrab
991017388649703851,Book - Physical,,Maney - Books,gmanb
991017391835403851,Book - Physical,"Borch, Frederic L., 1954- author.",Maney - Books,gmanb
991017391839903851,Book - Physical,"Randjbar-Daemi, Siavush, author.",Fares - Books,gfarb
991017391848203851,Book - Physical,"Yurchenko, Yuliya, author.",Raanan - Books,graab
991017391848803851,Book - Physical,"Fox-Godden, Aimée, author.",Imlah - Books,gimlb
991017391848903851,Book - Physical,"Jeziorny, Dariusz, author.",Imlah - Books,gimlb
991017391938103851,Book - Physical,,Maney - Books,gmanb
991017391943903851,Textual – Component Part,"ALIKARAMI, LEILA",Fares - Books,gfarb
991017391945203851,Book - Physical,"Gerges, Fawaz A., 1958- author.",Fares - Books,gfarb
991017392240303851,Book - Physical,"Rever, Judi.",Hay - Books,ghayb
991017392346403851,Book - Electronic,"Phillips, Christopher (Lecturer in international relations of the Middle East), author.",Fares - Books,gfarb
991017392445103851,Book - Physical,"Dannenbaum, Tom, author.",Bradley - Books,gbrab
991017398934103851,Book - Physical,,Maney - Books,gmanb
991017408343803851,Book - Electronic,,Bradley - Books,gbrab
991017417044203851,Book - Physical,,Hay - Books,ghayb
991017420034103851,Book - Physical,,Salacuse - Books,gsalb
991017420141103851,Book - Electronic,"Weisband, Edward, 1939- author.",Bradley - Books,gbrab
991017420239303851,Book - Physical,"Weisband, Edward, 1939- author.",Bradley - Books,gbrab
991017433149603851,Book - Electronic,"Harsch, Ernest, author.",Cabot - Books,gcabb
991017433749403851,Book - Electronic,"Jillson, Calvin C., 1949- author.",Salacuse - Books,gsalb
991017433749703851,Book - Electronic,,Maney - Books,gmanb
991017434147803851,Book - Physical,"Breitung, Claudia, author.",Bradley - Books,gbrab
991017434446403851,Book - Physical,"Picq, Manuela Lavinas, author.",Cabot - Books,gcabb
991017434446503851,Book - Physical,"Kamau, Macharia, author.",Cabot - Books,gcabb
991017434446603851,Book - Physical,,Cabot - Books,gcabb
991017434446703851,Book - Physical,"Waldman, Ari Ezra, 1980- author.",Cabot - Books,gcabb
991017434446803851,Book - Physical,"Omand, David, author.",Cabot - Books,gcabb
991017434446903851,Book - Physical,"Scheipers, Sibylle, author.",Cabot - Books,gcabb
991017434447003851,Book - Physical,,Cabot - Books,gcabb
991017434447103851,Book - Physical,,Cabot - Books,gcabb
991017434447203851,Book - Physical,"Clift, Ben, author.",Cabot - Books,gcabb
991017434447303851,Book - Physical,,Cabot - Books,gcabb
991017434447403851,Book - Physical,"Macdonald, Roderick, 1952- author.",Cabot - Books,gcabb
991017434447503851,Book - Physical,,Cabot - Books,gcabb
991017434447603851,Book - Physical,,Cabot - Books,gcabb
991017434447703851,Book - Physical,"Lukin, Alexander, author.",Cabot - Books,gcabb
991017434447803851,Book - Physical,"Rasmus, Jack, author.",Cabot - Books,gcabb
991017434447903851,Book - Physical,"Bartley, Tim, author.",Cabot - Books,gcabb
991017434448003851,Book - Physical,,Cabot - Books,gcabb
991017434448103851,Book - Physical,"Talley, Christian, 1993- author.",Cabot - Books,gcabb
991017434448203851,Book - Physical,"Steiner, Barry H. 1942- author. (Barry Howard),",Cabot - Books,gcabb
991017434448303851,Book - Physical,"Brennan, James P., 1955- author.",Cabot - Books,gcabb
991017434448403851,Book - Physical,"Stiles, Kendall W., author.",Cabot - Books,gcabb
991017434448503851,Book - Physical,"Whittington, Keith E. author.",Cabot - Books,gcabb
991017434448603851,Book - Physical,"Silver, Alexis M., author.",Cabot - Books,gcabb
991017434448703851,Book - Physical,,Cabot - Books,gcabb
991017434448803851,Book - Physical,,Cabot - Books,gcabb
991017434448903851,Book - Physical,"Gillespie, Alexander, author.",Cabot - Books,gcabb
991017434449103851,Textual – Component Part,,Hay - Books,ghayb
991017434449203851,Book - Physical,"Khan, Sulmaan Wasif, author.",Hay - Books,ghayb
991017434449303851,Book - Physical,"Jensen, Benjamin M., author.",Hay - Books,ghayb
991017434449403851,Book - Physical,"Kent, Avidan, author.",Hay - Books,ghayb
991017434449503851,Book - Physical,"Lantis, Jeffrey S., 1966- author.",Hay - Books,ghayb
991017434544103851,Book - Physical,"Lamer, Wiebke, author.",Cabot - Books,gcabb
991017434544203851,Book - Physical,"Son, Elizabeth W., author.",Cabot - Books,gcabb
991017434544303851,Book - Physical,"Esposito, John L., author.",Cabot - Books,gcabb
991017434544403851,Book - Physical,"Leonhard, Jörn, author.",Cabot - Books,gcabb
991017434544503851,Book - Physical,"Lemire, Beverly, 1950- author.",Cabot - Books,gcabb
991017434544903851,Book - Physical,"Deardorff Miller, Sarah, author.",Maney - Books,gmanb
991017434545003851,Book - Physical,"Marlowe, Jay M., author.",Maney - Books,gmanb
991017434546003851,Book - Physical,"Fonseca, Brian, 1976- author.",Hay - Books,ghayb
991017434546903851,Book - Physical,"Murray, Daragh, author.",Bradley - Books,gbrab
991017434547003851,Book - Physical,,Hay - Books,ghayb
991017434547103851,Book - Physical,"Barany, Zoltan D., author.",Hay - Books,ghayb
991017434547203851,Book - Physical,,Cabot - Books,gcabb
991017434547403851,Book - Physical,"Patrikarakos, David, 1977- author.",Hay - Books,ghayb
991017434547603851,Book - Physical,,Hay - Books,ghayb
991017434547703851,Book - Physical,,Hay - Books,ghayb
991017434547803851,Book - Physical,"Gitau, Lydia Wanja, author.",Hay - Books,ghayb
991017434547903851,Book - Physical,"Sánchez-Moreno, Maria McFarland, author.",Cabot - Books,gcabb
991017434548103851,Book - Physical,"Busch, Nathan E., 1971- author.",Hay - Books,ghayb
991017434548203851,Book - Physical,"Eckert, Amy, author.",Hay - Books,ghayb
991017434548403851,Book - Physical,"Van Creveld, Martin, 1946- author.",Hay - Books,ghayb
991017434548503851,Book - Physical,"Betts, Alexander, 1980- author.",Hay - Books,ghayb
991017434548603851,Book - Physical,"Lucas, George R., author.",Hay - Books,ghayb
991017434548703851,Book - Physical,,Hay - Books,ghayb
991017434549003851,Book - Physical,,Hay - Books,ghayb
991017434549103851,Book - Physical,"Kreps, Sarah E. author. (Sarah Elizabeth),",Hay - Books,ghayb
991017434549403851,Book - Physical,,Hay - Books,ghayb
991017434549503851,Book - Physical,"Brantly, Aaron Franklin, author.",Hay - Books,ghayb
991017434549603851,Book - Physical,"Galemba, Rebecca B., 1981- author.",Hay - Books,ghayb
991017434549703851,Book - Physical,"Arnold, Samantha, author.",Maney - Books,gmanb
991017434549803851,Book - Physical,"Smallman-Raynor, Matthew, author.",Hay - Books,ghayb
991017435046203851,Book - Electronic,"Maurer, Tim, author.",Hay - Books,ghayb
991017435448903851,Book - Physical,"Jillson, Calvin C., 1949- author.",Salacuse - Books,gsalb
991017435449103851,Book - Physical,"Epstein, Lee, 1958- author.",Maney - Books,gmanb
991017436043603851,Book - Physical,"Burnett, William (Consulting professor of design), author.",Cabot - Books,gcabb
991017436348403851,Book - Electronic,"Jay, Meg.",Cabot - Books,gcabb
991017436648703851,Book - Electronic,"Bolles, Richard Nelson.",Cabot - Books,gcabb
991017436949703851,Book - Electronic,"Bolles, Richard Nelson, author.",Cabot - Books,gcabb
991017450847503851,Book - Physical,"Sanger, David E., author.",Cabot - Books,gcabb
991017469246303851,Book - Physical,"Bolles, Mark Emery, 1955-",Cabot - Books,gcabb
991017469246703851,Book - Physical,"Bolles, Richard Nelson, author.",Cabot - Books,gcabb
991017469246803851,Book - Physical,"Bolles, Richard Nelson.",Cabot - Books,gcabb
991017469246903851,Book - Physical,"Bolles, Richard Nelson.",Cabot - Books,gcabb
991017469247103851,Book - Physical,"Jay, Meg, author.",Cabot - Books,gcabb
991017469247303851,Book - Physical,"Hoover Green, Amelia, author.",Hay - Books,ghayb
991017472249703851,Book - Physical,"Bergsten, C. Fred, 1941- author.",Cabot - Books,gcabb
991017473647303851,Book - Physical,"Rothwell, Donald, 1959- author.",Cabot - Books,gcabb
991017473647403851,Book - Physical,"Rampolla, Mary Lynn, author.",Fares - Books,gfarb
991017473647603851,Book - Electronic,"Tamārī, Salīm, author.",Fares - Books,gfarb
991017473743403851,Book - Physical,"Nurmohamed, Shemin.",Cabot - Books,gcabb
991017473840303851,Book - Electronic,,Salacuse - Books,gsalb
991017474147903851,Book - Electronic,"Ernst, Carl W., 1950-",Cabot - Books,gcabb
991017488845103851,Book - Physical,"Barros, Marcelo (Career counselor), author.",Cabot - Books,gcabb
991017488845803851,Book - Electronic,"Ripsman, Norrin M., author.",Cabot - Books,gcabb
991017488948303851,Book - Electronic,,Cabot - Books,gcabb
991017490149503851,Book - Physical,"Wolf, Maryanne, author.",Cabot - Books,gcabb
991017490149603851,Book - Physical,,Bradley - Books,gbrab
991017490149703851,Book - Physical,"Wheeler, Darren A., author.",Hay - Books,ghayb
991017491648703851,Book - Physical,"Crouch, Colin, 1944-",Cabot - Books,gcabb
991017491648803851,Book - Physical,"Snyder, Timothy, author.",Cabot - Books,gcabb
991017491746603851,Book - Electronic,"Kemp, Gerhard, 1973- author.",Cabot - Books,gcabb
991017496547203851,Digital File - Data,"Eisenstadt, Todd A.",Cabot - Books,gcabb
991017496646603851,Book - Electronic,"Okin, Susan Moller.",Cabot - Books,gcabb
991017496646703851,Book - Electronic,"Zhao, Linda, 1969- author.",Cabot - Books,gcabb
991017496646803851,Book - Electronic,,Cabot - Books,gcabb
991017496646903851,Book - Electronic,"Basalla, Susan Elizabeth, 1970- author.",Cabot - Books,gcabb
991017496647003851,Digital File - Data,"Tilly, Charles.",Cabot - Books,gcabb
991017496648003851,Book - Electronic,,Maney - Books,gmanb
991017496747403851,Book - Electronic,,Cabot - Books,gcabb
991017496747503851,Book - Electronic,,Cabot - Books,gcabb
991017496949403851,Book - Electronic,"Campbell, John author. (John R.),",Cabot - Books,gcabb
991017497620203851,Digital File - Data,"Austin, James E.",Cabot - Books,gcabb
991017497642003851,Book - Physical,"Raghavan, Srinath, author.",Cabot - Books,gcabb
991017497648603851,Book - Electronic,"Moses, Jonathon Wayne, 1962-",Cabot - Books,gcabb
991017497728303851,Book - Physical,"Jalālzaʼī, Mūsá K̲h̲ān, author.",Fares - Books,gfarb
991017497743103851,Book - Physical,"Dupuy, Pierre-Marie, author.",Maney - Books,gmanb
991017497746303851,Book - Physical,"Selee, Andrew D., author.",Cabot - Books,gcabb
991017497746603851,Book - Physical,"Eisenstadt, Todd A.",Cabot - Books,gcabb
991017497746803851,Book - Physical,"Basalla, Susan Elizabeth, 1970- author.",Cabot - Books,gcabb
991017497747103851,Book - Physical,,Cabot - Books,gcabb
991017497747203851,Book - Physical,"Boochani, Behrouz, author.",Cabot - Books,gcabb
991017497747503851,Book - Physical,"Turabian, Kate L., author.",Cabot - Books,gcabb
991017497847303851,Book - Physical,,Cabot - Books,gcabb
991017497849003851,Book - Physical,,Cabot - Books,gcabb
991017499411103851,Book - Electronic,"Dorsey, James M., author.",Cabot - Books,gcabb
991017499414603851,Book - Electronic,,Maney - Books,gmanb
991017499418203851,Book - Physical,"Matthan, Rahul.",Cabot - Books,gcabb
991017499418303851,Book - Physical,"Austin, James E.",Cabot - Books,gcabb
991017499432103851,Book - Physical,"Dupuy, Pierre-Marie, author.",Maney - Books,gmanb
991017499546603851,Book - Physical,"Breyer, Stephen G., 1938- author.",Cabot - Books,gcabb
991017499549503851,Book - Electronic,,Cabot - Books,gcabb
991017509047103851,Book - Physical,"Jamieson, Kathleen Hall, author.",Raanan - Books,graab
991017509049503851,Book - Physical,"Obama, Barack, author.",Bradley - Books,gbrab
991017521084203851,Book - Physical,"Dorsey, James M., author.",Cabot - Books,gcabb
991017541449403851,Book - Physical,"Yao, Mariya, author.",Cabot - Books,gcabb
991017541449503851,Book - Physical,"Gerrish, Sean, author.",Cabot - Books,gcabb
991017541748703851,Book - Electronic,"Gerrish, Sean, author.",Cabot - Books,gcabb
991017542249703851,Book - Physical,"Koh, Harold Hongju, 1954- author.",Cabot - Books,gcabb
991017542346603851,Book - Physical,"Saiya, Nilay, author.",Hay - Books,ghayb
991017542346803851,Book - Physical,"Sharpe, Marina, 1979- author.",Hay - Books,ghayb
991017542346903851,Book - Physical,"Torres Wong, Marcela, author.",Hay - Books,ghayb
991017542347003851,Book - Physical,"Mačák, Kubo, 1984- author.",Maney - Books,gmanb
991017542347103851,Book - Physical,"Olásolo, Héctor, author.",Maney - Books,gmanb
991017542347403851,Book - Physical,,Hay - Books,ghayb
991017542348303851,Book - Physical,"García Agustín, Óscar, author.",Hay - Books,ghayb
991017542348603851,Book - Physical,"Demetriou, Olga, author.",Hay - Books,ghayb
991017542348903851,Book - Physical,"Huikuri, Salla, author.",Maney - Books,gmanb
991017542349003851,Book - Physical,,Maney - Books,gmanb
991017542349503851,Book - Physical,"Arsenault, Elizabeth Grimm, author.",Bradley - Books,gbrab
991017542349703851,Book - Physical,"Naimark, Norman M., author.",Hay - Books,ghayb
991017550046003851,Book - Electronic,"Gibler, Douglas M.",Hay - Books,ghayb
991017551446303851,Digital File - Video,,Cabot - Books,gcabb
991017555641603851,Book - Physical,,Cabot - Books,gcabb
991017555642503851,Book - Physical,"Ward, Caterina E. Arrabal, author.",Cabot - Books,gcabb
991017555642603851,Book - Physical,,Hay - Books,ghayb
991017555642803851,Book - Physical,"Brennan, Anna Marie, author.",Cabot - Books,gcabb
991017555642903851,Book - Physical,,Hay - Books,ghayb
991017555643203851,Book - Physical,"Harris, D. J. author. (David John),",Cabot - Books,gcabb
991017555643403851,Book - Physical,,Cabot - Books,gcabb
991017555649803851,Book - Physical,"Walsh, Sinead, author.",Imlah - Books,gimlb
991017555747103851,Book - Physical,,Cabot - Books,gcabb
991017555747303851,Book - Physical,"Mudgway, Cassandra, author.",Cabot - Books,gcabb
991017555747603851,Book - Physical,,Cabot - Books,gcabb
991017555747703851,Book - Physical,"Brett, Peter, 1985- author.",Cabot - Books,gcabb
991017555849503851,Book - Electronic,"Dannenbaum, Tom, author.",Bradley - Books,gbrab
991017556049503851,Book - Physical,"Alam, Mayesha, 1988- author.",Bradley - Books,gbrab
991017560536003851,Book - Electronic,"Chasek, Pamela S., 1961- author.",Salacuse - Books,gsalb
991017560538603851,Book - Electronic,"Vogel, Christoph, 1986- author.",Hay - Books,ghayb
991017562448603851,Book - Physical,"KRASNYAK, OLGA",Imlah - Books,gimlb
991017569649503851,Book - Physical,"Hintz, Lisel, author.",Fares - Books,gfarb
991017573049203851,Book - Physical,,Maney - Books,gmanb
991017573049303851,Book - Physical,"Jackson, Vicki C., author.",Maney - Books,gmanb
991017573349003851,Book - Electronic,"Sultany, Nimer, author.",Maney - Books,gmanb
991017573441103851,Book - Physical,"SINGER, P. W. (PETER WARREN),",Salacuse - Books,gsalb
991017573443303851,Book - Physical,"KUMARASWAMY, P.R",Fares - Books,gfarb
991017573444603851,Book - Physical,"DAVIDSON, LEE",Imlah - Books,gimlb
991017573445103851,Book - Physical,"MAKUBUYA, APOLLO N",Imlah - Books,gimlb
991017573544003851,Book - Physical,"KUMARASWAMY, P.R",Fares - Books,gfarb
991017573544103851,Book - Physical,"DURRANI, SHIRAZ",Imlah - Books,gimlb
991017573544703851,Book - Physical,,Imlah - Books,gimlb
991017587746903851,Book - Electronic,,Cabot - Books,gcabb